l0_id,l0_capability,l1_id,l1_feature,competitor_signals,source_urls,value_score,urgency,effort,priority,l2_feature_id,l2_domain,l2_owner_team,l2_state,target_window,evidence_gate
L0-12,Platform and API Ecosystem Expansion,L1-12-01,API parity for key assistant and agent features,"GPT-5/GPT-5.3-Codex API expansion; Claude Opus 4.6 API (adaptive thinking, effort, compaction); Gemini API",https://openai.com/index/introducing-operator/ | https://x.ai/blog | https://deepmind.google/technologies/gemini/ | https://openai.com/gpt-5/ | https://openai.com/index/introducing-gpt-5-3-codex/ | https://www.anthropic.com/news/claude-opus-4-6,93,high,medium,P0,NAI-API-CONTRACT-00003,API,api-platform,specified,2026-Q2,api parity contract tests
L0-02,Agentic Coding and Dev Workflow Automation,L1-02-01,Repo-aware coding agent with edit-run-verify loops,Claude Opus 4.6 agent teams; Claude Sonnet 4.6 coding; GPT-5.3-Codex agentic coding; Google Gemini coding,https://www.anthropic.com/news/claude-sonnet-4-6 | https://deepmind.google/technologies/gemini/ | https://www.anthropic.com/news/claude-opus-4-6 | https://openai.com/index/introducing-gpt-5-3-codex/,93,high,medium,P0,NAI-CORE-RUNTIME-00002,CORE,core-agent,specified,2026-Q2,coding task benchmark + contract tests
L0-06,Real-Time Search and Retrieval-Grounded Answers,L1-06-01,Built-in web retrieval with grounding citations,xAI realtime search; Copilot AI search; Gemini search tasks,https://x.ai/blog | https://www.microsoft.com/en-us/microsoft-copilot/blog/ | https://deepmind.google/technologies/gemini/,93,high,medium,P0,NAI-ROUTER-RUNTIME-00002,ROUTER,routing-platform,specified,2026-Q2,grounding citation checks
L0-10,Cost Latency and Routing Intelligence,L1-10-01,Dynamic model routing by task complexity,Gemini model family surfaces; GPT-5.3 Instant fast tier; Claude effort controls (low/med/high/max),https://deepmind.google/technologies/gemini/ | https://x.ai/blog | https://openai.com/index/ | https://openai.com/gpt-5/,93,high,medium,P0,NAI-ROUTER-RUNTIME-00003,ROUTER,routing-platform,specified,2026-Q2,routing quality benchmark
L0-04,Tool Calling and External Action Reliability,L1-04-02,Tool sandbox policy profiles by risk level,Claude Sonnet 4.6 safety system card; OpenAI policy layers,https://openai.com/index/introducing-operator/ | https://www.anthropic.com/news/claude-sonnet-4-6 | https://www.anthropic.com/news/claude-opus-4-6,93,high,medium,P0,NAI-SAFETY-SECURITY-00002,SAFETY,safety-runtime,specified,2026-Q2,policy matrix tests
L0-01,Autonomous Task Execution and Browser/Computer Use,L1-01-02,Multi-step task planning and resumable execution,OpenAI Operator; Claude Opus 4.6 long-horizon agentic workflows; Claude Sonnet 4.6 planning,https://openai.com/index/introducing-operator/ | https://www.anthropic.com/news/claude-sonnet-4-6 | https://www.anthropic.com/news/claude-opus-4-6,92,high,medium,P0,NAI-CORE-RUNTIME-00001,CORE,core-agent,specified,2026-Q2,trace replay tests + failure resume benchmark
L0-11,Evaluation Benchmarking and Quality Operations,L1-11-01,Unified benchmark runner for agentic tasks,Gemini benchmark publication; Claude Sonnet 4.6 + Opus 4.6 eval transparency; GPT-5.3-Codex SWE-bench,https://deepmind.google/technologies/gemini/ | https://www.anthropic.com/news/claude-sonnet-4-6 | https://www.anthropic.com/news/claude-opus-4-6 | https://openai.com/index/introducing-gpt-5-3-codex/,92,high,medium,P0,NAI-EVAL-EVALUATION-00003,EVAL,eval-quality,specified,2026-Q2,benchmark harness CI
L0-05,Memory and Long-Context Personalization,L1-05-04,Memory privacy controls and retention policies,Claude Sonnet 4.6 + Opus 4.6 safety evaluations; OpenAI privacy controls,https://openai.com/index/introducing-operator/ | https://www.anthropic.com/news/claude-sonnet-4-6 | https://www.anthropic.com/news/claude-opus-4-6,92,high,low,P0,NAI-SAFETY-SECURITY-00003,SAFETY,safety-runtime,specified,2026-Q2,privacy config tests
L0-02,Agentic Coding and Dev Workflow Automation,L1-02-04,Coding benchmark harness and regression gates,Claude Sonnet 4.6 + Opus 4.6 coding eval improvements; Gemini benchmark transparency,https://deepmind.google/technologies/gemini/ | https://www.anthropic.com/news/claude-sonnet-4-6 | https://www.anthropic.com/news/claude-opus-4-6,91,high,low,P0,NAI-EVAL-EVALUATION-00001,EVAL,eval-quality,specified,2026-Q2,benchmark result persistence + CI gate
L0-08,Enterprise and Team Governance,L1-08-02,Role-based access control and approvals,Operator confirmation + enterprise admin trends,https://openai.com/index/introducing-operator/ | https://www.microsoft.com/en-us/microsoft-copilot/blog/,91,high,medium,P0,NAI-AUTH-SECURITY-00003,AUTH,identity-access,specified,2026-Q2,rbac matrix tests
L0-05,Memory and Long-Context Personalization,L1-05-01,User preference memory with explicit controls,Claude Sonnet 4.6 memory tool (GA); Gemini personalization flows,https://www.anthropic.com/news/claude-sonnet-4-6 | https://blog.google/products/gemini/,90,high,medium,P1,NAI-MEMORY-RUNTIME-00001,MEMORY,memory-systems,specified,2026-Q2,memory preference persistence tests
L0-03,Native Multimodality,L1-03-01,Image understanding with chart/table extraction,Claude Sonnet 4.6 computer use + vision; Gemini multimodal reasoning,https://www.anthropic.com/news/claude-sonnet-4-6 | https://deepmind.google/technologies/gemini/,89,high,medium,P1,NAI-MULTIMODAL-RUNTIME-00001,MULTIMODAL,multimodal-runtime,specified,2026-Q2,multimodal eval set
L0-10,Cost Latency and Routing Intelligence,L1-10-02,Latency-aware fallback and cooldown behavior,provider reliability and fallback pressure,https://deepmind.google/technologies/gemini/ | https://www.anthropic.com/news,89,high,low,P1,NAI-ROUTER-RUNTIME-00004,ROUTER,routing-platform,specified,2026-Q2,p95/p99 fallback tests
L0-07,Collaborative Workspace and Artifacts,L1-07-01,Side-by-side artifact workspace for outputs,Claude Sonnet 4.6 Claude Cowork + artifact workspace; coding workspace expectations,https://www.anthropic.com/news/claude-sonnet-4-6,89,high,medium,P1,NAI-UX-UX-00001,UX,ux-product,specified,2026-Q2,artifact pane UX tests
L0-05,Memory and Long-Context Personalization,L1-05-02,Session-to-session memory summaries,assistant continuity trend across major assistants,https://blog.google/products/gemini/ | https://www.microsoft.com/en-us/microsoft-copilot/blog/,86,high,low,P1,NAI-MEMORY-RUNTIME-00002,MEMORY,memory-systems,specified,2026-Q2,summary recall regression tests
